Annual_Salary,Total_Deductions,Taxable_Income,Rent_Paid,Investment_80C,Medical_Insurance_80D,NPS_Contribution_80CCD,Home_Loan_Interest_24b,Donations_80G,Groceries,Utilities,Entertainment,Healthcare,label
1273698.0,397947.0,825751.0,308174.0,136304.0,40037.0,14820.0,200000.0,6786.0,83895.0,29084.0,39364.0,69110.0,0
2321214.0,248404.0,2022810.0,239292.0,60815.0,46934.0,26081.0,100000.0,14574.0,69389.0,91406.0,30651.0,37767.0,0
481264.0,203808.0,227456.0,202232.0,129887.0,41669.0,21292.0,0.0,10960.0,29999.0,54774.0,26105.0,26000.0,0
1117912.0,283746.0,784166.0,287190.0,108117.0,14209.0,49748.0,100000.0,11672.0,72289.0,84765.0,88305.0,71651.0,0
526108.0,174386.0,301722.0,356993.0,128133.0,20435.0,17006.0,0.0,8812.0,85262.0,39997.0,99538.0,89950.0,0
479083.0,346992.0,82091.0,358355.0,146232.0,40874.0,35929.0,100000.0,23957.0,76902.0,36588.0,87995.0,29954.0,0
1353959.0,214125.0,1089834.0,356091.0,128467.0,49759.0,23283.0,0.0,12616.0,50223.0,80988.0,72905.0,47107.0,0
2342811.0,168403.0,2124408.0,103091.0,113936.0,10846.0,37011.0,0.0,6610.0,63945.0,53040.0,69095.0,27984.0,0
2438540.0,284219.0,2104321.0,173783.0,131379.0,924.0,48146.0,100000.0,3770.0,30518.0,95058.0,27623.0,26832.0,0
1175435.0,290638.0,834797.0,130098.0,14671.0,48443.0,6054.0,200000.0,21470.0,28631.0,72069.0,33889.0,42792.0,0
2399254.0,182016.0,2167238.0,235801.0,121987.0,47115.0,11998.0,0.0,916.0,46796.0,24897.0,72666.0,89495.0,0
1767223.0,133502.0,1583721.0,303564.0,35554.0,32698.0,42919.0,0.0,22331.0,64937.0,42100.0,93553.0,67823.0,0
764359.0,205609.0,508750.0,362276.0,141417.0,30254.0,9533.0,0.0,24405.0,81645.0,21792.0,29251.0,80106.0,0
1878236.0,291517.0,1536719.0,321060.0,22439.0,5696.0,47682.0,200000.0,15700.0,90623.0,91502.0,60111.0,37036.0,0
1642845.0,201749.0,1391096.0,242777.0,134678.0,41789.0,615.0,0.0,24667.0,38222.0,63968.0,81434.0,95176.0,0
544931.0,135468.0,359463.0,241445.0,100336.0,4926.0,15240.0,0.0,14966.0,94606.0,52081.0,59799.0,96051.0,0
2159555.0,202854.0,1906701.0,146418.0,54319.0,32083.0,4567.0,100000.0,11885.0,40897.0,49955.0,56893.0,47099.0,0
448874.0,396642.0,2232.0,102031.0,111603.0,47014.0,27761.0,200000.0,10264.0,35571.0,88031.0,74025.0,45560.0,0
1213738.0,63170.0,1100568.0,139871.0,1813.0,35699.0,11772.0,0.0,13886.0,24773.0,98517.0,60248.0,71729.0,0
1314032.0,186676.0,1077356.0,359215.0,142228.0,5454.0,19023.0,0.0,19971.0,39440.0,82266.0,95289.0,58766.0,0
717537.0,270906.0,396631.0,194586.0,122808.0,34484.0,1141.0,100000.0,12473.0,32395.0,44846.0,35866.0,38911.0,0
1253088.0,443758.0,759330.0,217888.0,135189.0,40031.0,46216.0,200000.0,22322.0,76811.0,80744.0,21053.0,98556.0,0
2103194.0,296965.0,1756229.0,154813.0,54330.0,13704.0,7788.0,200000.0,21143.0,47913.0,74727.0,61761.0,19266.0,0
844191.0,124297.0,669894.0,349160.0,75602.0,40745.0,5529.0,0.0,2421.0,65240.0,39176.0,44000.0,53438.0,0
1061614.0,138763.0,872851.0,183850.0,57649.0,34393.0,39661.0,0.0,7060.0,42804.0,47628.0,56332.0,60963.0,0
898870.0,309647.0,539223.0,306058.0,25711.0,30663.0,45429.0,200000.0,7844.0,75204.0,87372.0,70241.0,70124.0,0
1959312.0,229063.0,1680249.0,101253.0,95742.0,5898.0,21650.0,100000.0,5773.0,95197.0,38470.0,31145.0,45072.0,0
1615502.0,80313.0,1485189.0,1587421.4302462868,13050.0,49223.0,6040.0,0.0,12000.0,51374.0,39268.0,21004.0,50490.0,1
1446914.0,63506.0,1333408.0,1682124.4254805227,25517.0,33030.0,3114.0,0.0,1845.0,56179.0,95620.0,49305.0,74172.0,1
1959161.0,175575.0,1733586.0,353264.0,97406.0,35131.0,21452.0,0.0,21586.0,51349.0,55462.0,33190.0,31811.0,0
2371856.0,207008.0,2114848.0,259767.0,24519.0,17627.0,44578.0,100000.0,20284.0,59198.0,73563.0,54149.0,45443.0,0
2189616.0,222569.0,1917047.0,171088.0,9277.0,48321.0,40635.0,100000.0,24336.0,58612.0,94192.0,32014.0,80127.0,0
1684382.0,293535.0,1340847.0,193688.0,10878.0,35414.0,29813.0,200000.0,17430.0,52710.0,48431.0,26423.0,27019.0,0
615048.0,82373.0,482675.0,142507.0,45541.0,14327.0,4823.0,0.0,17682.0,45678.0,21992.0,34968.0,64440.0,0
1848021.0,183721.0,1614300.0,319968.0,42291.0,2462.0,31658.0,100000.0,7310.0,93074.0,58055.0,69797.0,86358.0,0
624137.0,182522.0,391615.0,344155.0,99977.0,26206.0,39182.0,0.0,17157.0,32730.0,85872.0,88573.0,97653.0,0
